"Control: 0,0","Control: 1,0","Control: 2,0","Control: 3,0","Control: 4,0","Control: 5,0","Control: 6,0","Control: 7,0","Control: 8,0","Control: 9,0","Control: 10,0"
-0.1908462240454265,-0.12696286149452432,-0.052631132341634586,-0.03576573807562961,0.006334245000344383,0.0327796317180721,0.030164575054053233,0.021545654390351266,-0.02151060564836507,-0.06115469898646877,-0.07287144440796707
-0.1709858051594198,-0.11310378892063123,-0.04552737318322789,-0.029237229478165018,0.018781803003200676,0.04495733868843817,0.043070715090734686,0.038981580152638806,-0.010738582661893752,-0.057409618018624584,-0.06744950332179997
-0.13112203533779632,-0.0854079353553643,-0.03217785041082631,-0.018288672081874655,0.031189127096165285,0.05402876675766133,0.0579984855636903,0.05402859288402679,-0.006079643087447182,-0.0547164572087969,-0.06674790065446078
-0.10787347685946182,-0.07514727068884448,-0.029522034925804276,-0.014030895167237491,0.037931165007663394,0.0587838968572287,0.05245205818423213,0.05187655172255083,0.00223209935533839,-0.04811988707510294,-0.06665834818770795
-0.07189031762681636,-0.048969274807765306,-0.014845886146482025,-0.0059361759248929315,0.03256029992309805,0.050495591104244515,0.0607056275948804,0.059501843160034186,0.005487291024538578,-0.04290570728400757,-0.06848812626321527
-0.048612676557874504,-0.03075190259517454,8.369173324979473e-5,0.0024578887154979856,0.02643798330507709,0.04345247462554738,0.06025490837351776,0.05832183688954006,0.006256048182406758,-0.041688937819479854,-0.06866295859427791
-0.021873108984189434,-0.014617636808950141,0.010412476981089765,0.012715130885141354,0.012643407014263482,0.016416571921258213,0.048364544503033166,0.05282682681252606,0.007215125539409022,-0.036527845123932715,-0.07538958459358361
0.028797487090494886,0.013445012114892053,0.013774374319405917,0.01637869178902239,0.0002949463141593361,-0.004445203389044403,0.032414644047947236,0.03658546106165846,0.002338282512739345,-0.0369455587135283,-0.07840248488711357
0.04473220041356158,0.02078111897903341,0.018332873590952647,0.022117501162426535,-0.0021791619534675026,-0.011179271600263399,0.01951436704687363,0.01854228045315811,-0.0045538977230054345,-0.03684766755084462,-0.08602194149615809
0.06345383628213744,0.03486054101364269,0.02691557497850559,0.02527573651140705,-0.010812460565439396,-0.01930697669959895,0.009427714157550025,0.003168935490073133,-0.011617061224414063,-0.0404984640281503,-0.08913838696455408
0.11066729380171567,0.06706052583813725,0.0353663467694437,0.024730942501348344,-0.01583474476319902,-0.019523024284083763,0.010805397823494484,-0.004746424388914515,-0.021675839854655113,-0.049582478824073746,-0.09282124332516702
0.1451256887403001,0.08835544680296016,0.03964210931250681,0.025333809167516316,-0.014706736506574758,-0.02530722751919738,-0.00911819871987288,-0.026583721877208245,-0.03320571168017024,-0.055254374510503364,-0.0975240951177194
0.18401475467223247,0.1165073272953584,0.052779079566203466,0.029670894532153633,-0.014311151691685323,-0.029640542092535683,-0.02397515834661265,-0.041637332548052686,-0.0430361913986179,-0.06450220336535434,-0.1039496461682748
0.20968861724720184,0.1365198061368721,0.059874773289328866,0.03003899158018483,-0.00797821881147346,-0.01564570685657779,-0.022828991323106226,-0.05541419968028554,-0.054184791574993216,-0.0692885184024276,-0.10660746739176663
0.20466888592233853,0.13316472557137438,0.062466398087897654,0.03147159883225146,-0.005177299069454677,-0.020657546854182873,-0.04955863909954605,-0.07750161819407769,-0.06536525980492942,-0.0765848564455853,-0.10917952813832577
0.19757799123393047,0.12693047580002817,0.0557093931824008,0.026211494238326888,-0.0018889960678869734,-0.016772123453839976,-0.05903091657340602,-0.09139751189502186,-0.07182003046853365,-0.07815505079074798,-0.11329765930298248
0.19025847705125157,0.12394439342534437,0.054337137236408144,0.022092668003937877,0.007591237204537066,-0.0015867614924587343,-0.05116646569211138,-0.0852518828021996,-0.0709586808251838,-0.07875379604348413,-0.11299891531045102
0.18385696395740878,0.11480159026757236,0.047750119186134504,0.020428769181471247,0.006281084674225631,-0.007279241170873451,-0.06573732366935504,-0.09495983219160997,-0.078862672627503,-0.08780079634594337,-0.11226853566996133
0.17301932173390916,0.10901351503941861,0.04652032640634391,0.018047149813596876,0.014000668805257813,0.009059979115996849,-0.05529821805566461,-0.08922028890114303,-0.07606916412526807,-0.08568120802095137,-0.10837039868523111
0.1482919664312645,0.0928938621091222,0.039585789941929565,0.013472324424618622,0.013732407690919338,0.005933975796852596,-0.060615198324067435,-0.09058192624502147,-0.07618941530854778,-0.08556217852903394,-0.10676619919466043
0.1273240275581063,0.07554902648710331,0.03326532829591877,0.012349496200392232,0.005000358926609695,-0.007044156728147442,-0.06611731588828981,-0.08758578233567722,-0.07006469401338913,-0.07697134533509012,-0.0995161897088443
0.10506148480225812,0.06173152399255786,0.024275730816162792,0.0065956558251308445,0.0021480576171479873,-0.006347428589126026,-0.05283605540588906,-0.06945780007054173,-0.059983872108330734,-0.07005585950921978,-0.08622164447532465
0.0736559077593637,0.04435695405788478,0.02979399430911781,0.017150751041097836,0.0003237474296722654,-0.009791684733780061,-0.04091101303142293,-0.05473529461844725,-0.051421509915550376,-0.0554820690063366,-0.06890430576426514
0.034305570180254805,0.016902305754101152,0.018509721335507982,0.01501867310521811,-0.0040257693755438246,-0.009523160920109715,-0.023770204676596487,-0.031688360648886464,-0.03272698752954727,-0.03687013137578737,-0.04598307400868149
0.02050764002256597,0.011297681880642575,0.00761561976096905,0.0058485984421429524,-0.0018575708946232663,-0.006149794103479782,-0.011771380605782752,-0.013798078332436884,-0.014679811825764147,-0.012801415153170974,-0.014178071746338342
-0.0059285390002956195,-0.0017131051000554597,0.0014888550900039581,0.0024648018113958884,0.007255053981272952,0.00909518052111667,0.0056718494423979035,0.008062683307061598,0.01136696800378531,0.018779701777258687,0.023715620297192316
-0.005404003551251443,-0.006298563334441148,-0.004631902305327,-0.0010495119661800203,0.0002808399496367871,0.00013107502702947927,-0.0012975404856220949,-0.0006019077185506175,0.002567763543256263,-0.0024753118528321335,0.0004978189051921334
