"Control: 0,0","Control: 1,0","Control: 2,0","Control: 3,0","Control: 4,0","Control: 5,0","Control: 6,0","Control: 7,0","Control: 8,0","Control: 9,0","Control: 10,0"
0.03650370479121373,0.014614203566116514,-0.018391374429996117,-0.036415738589684596,-0.047098032060416836,-0.07351231428730105,-0.10914001189190965,-0.11611564196461438,-0.10800290876612435,-0.10278505607961709,-0.09935784674270105
0.056247039198748384,0.01257748642951993,-0.040820851075682986,-0.06362736968452151,-0.08943339452757504,-0.14005766574104428,-0.20091170674861508,-0.21220302838483668,-0.194205883230615,-0.1814910555724873,-0.17401464225365454
0.057204538552127246,0.0022192818244076034,-0.06674539552160103,-0.09447503433947953,-0.11972607830866082,-0.18032190820837984,-0.2574782948018963,-0.2725473766794709,-0.2525724523032897,-0.23784734313874553,-0.22901354257182308
0.06617792896817606,0.002960013619288837,-0.07696941516956231,-0.11085005856102391,-0.14082530761481868,-0.2128477829431869,-0.2980955523658306,-0.31176509128358015,-0.2941072865399242,-0.2788369586309056,-0.2661346283181704
0.08901953575794493,0.01167834029295682,-0.08863312261570583,-0.12858813814897996,-0.1633217951827871,-0.24106726977670775,-0.3258169609107318,-0.33827856097038556,-0.323066277024402,-0.30591476674169815,-0.2906152054920455
0.09212454515240416,0.010426473643074793,-0.09450469145844347,-0.13618974653767613,-0.1714259081939137,-0.24907181508117132,-0.3268846825566083,-0.3423225571515714,-0.33807324854810766,-0.3200339009062072,-0.30423603174847247
0.11191863255567014,0.024502007940854328,-0.09348111479470317,-0.1434800015667119,-0.18422286424901588,-0.2717438778487911,-0.34449990464553004,-0.3510947258963415,-0.34924087756890954,-0.32790348433978905,-0.30876685845811697
0.12059152845164167,0.03275130967031992,-0.08940931294200208,-0.1431290167116616,-0.18099811138182156,-0.25542575662107553,-0.321796048226927,-0.3422902224877275,-0.35145168976958713,-0.32895031736300484,-0.3072850960518404
0.11527930963221661,0.027609113453999,-0.08790814681431368,-0.13985095136616077,-0.18693241931235177,-0.2589724345229035,-0.3202417200325034,-0.3419054186334843,-0.3464076185519829,-0.3210558888854885,-0.29972067734181
0.1056763093460878,0.02397043532336719,-0.08652684939535091,-0.13810621848859458,-0.1859418406465767,-0.25047491534084443,-0.3071325635726981,-0.33635561716618584,-0.33989373866814276,-0.31529288942701916,-0.2980129259957215
