"Control: 0,0","Control: 0,1","Control: 1,0","Control: 1,1","Control: 2,0","Control: 2,1","Control: 3,0","Control: 3,1","Control: 4,0","Control: 4,1","Control: 5,0","Control: 5,1","Control: 6,0","Control: 6,1","Control: 7,0","Control: 7,1","Control: 8,0","Control: 8,1","Control: 9,0","Control: 9,1","Control: 10,0","Control: 10,1"
-0.03766480542797832,-0.0024298354574826533,-0.03569081167054194,-0.003606954428993372,-0.03485786386862159,-0.004351941917570778,-0.0340319862964404,-0.005799553047813084,-0.03405065239247294,-0.007551443857540852,-0.033997593493101726,-0.008896608242452461,-0.034639693102213195,-0.010176861121430639,-0.03535582530498734,-0.011694085404529181,-0.035058642990940345,-0.012170299103231346,-0.03458007493918631,-0.010825192771781249,-0.03529152257010484,-0.00845275700524807
-0.06501004593243108,0.0027264591061283076,-0.061436516454642036,0.000544580530327715,-0.059715059150348936,-0.0006503309906201731,-0.0584576845107175,-0.00344148806521582,-0.05831160305874838,-0.006533897962267329,-0.05844436949199172,-0.009140112883669563,-0.05972593129242804,-0.011444494137093196,-0.061117940161155,-0.014167429980078064,-0.06073150866313249,-0.015131429870453468,-0.05960563215726882,-0.01255418709900736,-0.06100838602728297,-0.00819947518552457
-0.07586787839755818,0.009461099934768655,-0.07106820251319493,0.006575086638104969,-0.06848964313200545,0.005013421521550686,-0.06704773388280796,0.0012616582571627682,-0.06671552036438869,-0.0030247082162546545,-0.06723038275435357,-0.006597457070219002,-0.06911247065231912,-0.009732100681208332,-0.07123606354330934,-0.013457157768000766,-0.070897585305429,-0.014723651319148913,-0.06903587621080662,-0.011188846706684186,-0.07106275244207254,-0.00516467123332613
-0.07821031836375622,0.020757355240700718,-0.07238284685275538,0.017596488126391585,-0.06914608955584754,0.015602624816429062,-0.06771800308735255,0.011387718562516396,-0.06718969575084688,0.00598375954300712,-0.06822878932673421,0.0018497807462299206,-0.07067291353495499,-0.0020553245190968487,-0.07374120819185631,-0.00644462808437765,-0.07332125878906226,-0.00795136235310742,-0.0708462863692055,-0.0036129817164362458,-0.07333993195812205,0.003679578383833982
-0.0721518100385489,0.03865864455485514,-0.0654944288181487,0.035365221608055275,-0.06195055387252463,0.03325444710988566,-0.06034575604140476,0.028701533106309046,-0.06002626578535658,0.022584527751255065,-0.06138312786939071,0.017930136146534093,-0.06462535470798893,0.0135925677319626,-0.06847787442721423,0.008665453294322075,-0.06819975159867386,0.00709032111026112,-0.06498900777212702,0.011928529666712285,-0.06786624989085205,0.02018658887021979
-0.06119625466949324,0.051005708385284135,-0.05401657049241179,0.04789277691030334,-0.05018388172583446,0.04571238795565695,-0.04883252881088836,0.04121209476862537,-0.04843377103805659,0.03444350291375954,-0.05053053604523043,0.029710724742167946,-0.05435079900260157,0.0248104902644626,-0.05924143961250825,0.01987976880185579,-0.05897084093361211,0.01799479888241367,-0.055184989466062706,0.0233713488518688,-0.05822685189264057,0.03204459638789991
-0.046289159655843154,0.06985491127254682,-0.0386971333921974,0.06709607571036025,-0.03506670915123537,0.06507778746581862,-0.03353600518145872,0.060797839980768945,-0.0337344941377944,0.05371734598919328,-0.03606788519036794,0.048941508131303074,-0.040886023041780795,0.043833463281846424,-0.04652433201504366,0.03890977655613741,-0.046494187894888545,0.03692836381708078,-0.04198596417476094,0.04248834929250045,-0.045110468248617946,0.051235511941825865
-0.005127147922233197,0.07484496630481773,0.002491222855581676,0.07263484052770304,0.006024768239465356,0.07104578928083866,0.007040962303419945,0.06705603921758511,0.006701668708236814,0.060074550875926995,0.003429776209383292,0.0554141617064917,-0.0020314170381232994,0.05022191704992582,-0.008891653153669812,0.04559850610492531,-0.008867595019289482,0.04350865561906829,-0.003899240041092254,0.04906321932124531,-0.006885533312874456,0.05744127494204735
0.03149853530500947,0.0763088611985073,0.039085540194137576,0.07471631733048675,0.04204872856319504,0.07387834261428416,0.042954674315412195,0.07023475867624338,0.04185733349680269,0.0637709818820651,0.03818088277553597,0.05915637444769723,0.03161103863749684,0.054339990154450436,0.02394114599322029,0.04991240768003121,0.023699601003807056,0.04796126092711391,0.02932206099301902,0.0531031057333274,0.026544715383338174,0.06076499230551158
0.0690727964612229,0.06555888362938561,0.0762460951657277,0.06484968975336872,0.07879122113851911,0.06478770235939409,0.07913774616371916,0.06178722279245676,0.07762817814049795,0.05597321720172229,0.0730810138007988,0.051683628526948334,0.0657983321557282,0.0473475319420244,0.05705828656356016,0.04322146489237708,0.05677698062022587,0.04155371250986132,0.06291596274363512,0.04589520156735291,0.060582517068073855,0.05247365921531512
