"Control: 0,0","Control: 0,1","Control: 1,0","Control: 1,1","Control: 2,0","Control: 2,1","Control: 3,0","Control: 3,1","Control: 4,0","Control: 4,1","Control: 5,0","Control: 5,1","Control: 6,0","Control: 6,1","Control: 7,0","Control: 7,1","Control: 8,0","Control: 8,1","Control: 9,0","Control: 9,1","Control: 10,0","Control: 10,1"
-0.36700809281970087,0.38774489262420964,-0.3079135572632532,0.1217871711339336,-0.23067893231179953,-0.09649115761412488,-0.27437960039004367,-0.017368966437588288,-0.2627060697515762,0.054470317380948666,-0.22097849011054313,0.005101792501926491,-0.19513058147496518,-0.09026451707029717,-0.14136909984833956,-0.011814795531965417,-0.20882625612627811,0.09069683031378387,-0.11134222256276771,-0.09079703166723145,-0.03474885807750067,-0.35223850428837544
-0.5973408543339225,0.6456761065890158,-0.5289285428019276,0.2083211387117241,-0.39931195095092287,-0.1595118993676899,-0.4319333748744861,-0.028747087891185272,-0.4027906455833713,0.09313442875758414,-0.35443789285395905,0.0032864249660472617,-0.3558413361758072,-0.17232065395802218,-0.25402719164683174,-0.02961015397004845,-0.373370926853281,0.15374385788335493,-0.1915833854499403,-0.1525442353192969,-0.05526602104057844,-0.6076214248068995
-0.715652129308575,0.7803648550584127,-0.6817464582054613,0.24896484506533564,-0.5203141486056129,-0.20332880227374497,-0.5147074729525083,-0.029658693986884043,-0.4581719557600583,0.13277431885508897,-0.4574067057693611,0.005725357953180886,-0.466123779027594,-0.23686487891785746,-0.3448661191576046,-0.041538189157684174,-0.4974326758919515,0.19526359514117547,-0.2425777565413508,-0.17970138303758582,-0.0679082112947738,-0.75817012572959
-0.7792247897490001,0.8527007030880169,-0.7189768850597259,0.272175100595312,-0.551050162491052,-0.23028584888845544,-0.5756874690010154,-0.024920390529199324,-0.5099512835493629,0.16324773571366075,-0.5580465677226563,0.0026867753779298794,-0.5390956910116036,-0.2809948674437277,-0.4315058414847934,-0.05028069202208363,-0.594534640654067,0.21241545562496467,-0.27000051098588085,-0.1759504705092047,-0.08750927402293883,-0.8157025725250634
-0.812561124334761,0.8716622007437536,-0.7397568678823498,0.28304555953220323,-0.5713084944264403,-0.23886416784695236,-0.6059736310398994,-0.017282918231243193,-0.5473440090815164,0.18677518334481466,-0.5833655530375744,-0.011677323178789214,-0.5604711578499485,-0.3129527151675305,-0.4078796117198934,-0.05751782950368132,-0.5956490431346657,0.21384565779152637,-0.28201830376294096,-0.14084966234563975,-0.07658498087038428,-0.8534767024853972
-0.8134659371604331,0.8769381348503742,-0.740131804883219,0.2948239876531919,-0.5811633390630528,-0.23855055323762026,-0.6177064604799,0.00014601770459159012,-0.5460037094552098,0.20811281942023532,-0.5887303709028977,-0.036886886980072496,-0.5524063133962769,-0.3287093190294568,-0.4624932760127529,-0.0634235621031739,-0.6456122962976997,0.19805553707994267,-0.25992114772747255,-0.15432683995898758,-0.0766634887846117,-0.8258650268794046
-0.7991600357524253,0.8801035489105722,-0.7264945485486314,0.31369094783743745,-0.5810559812260413,-0.23033585277021668,-0.6197071629408499,0.022923798918362406,-0.5451260944724498,0.222884660369983,-0.5731254205825365,-0.0669970742261047,-0.5220149308769526,-0.3258851976395415,-0.4537950029106125,-0.0628632040984283,-0.6388086679415484,0.1676702526194258,-0.2248648893389649,-0.14892193553967004,-0.0582598617533476,-0.8182067529779696
-0.7642114833334807,0.8818241306048761,-0.6971129259977235,0.3354589133253563,-0.5723175980205327,-0.21977205071791714,-0.6136328361968717,0.03949356110051556,-0.5474260263752122,0.22350580756637334,-0.5380784649481816,-0.10044821277911142,-0.47267873293623963,-0.32869497940882353,-0.42201237913225237,-0.07492905841252046,-0.6017871826983547,0.12104360162713018,-0.16966752606674185,-0.14542331265834635,-0.030810415693745766,-0.7884959111457521
-0.7201027854062453,0.8828591615492333,-0.6580936282717839,0.3577578262651372,-0.5568159402542397,-0.210213724897221,-0.5959888940790388,0.03658385397783428,-0.5374016226307168,0.2133282320048189,-0.5102747388868125,-0.13853529777766505,-0.42919600008930053,-0.32732549544041306,-0.3921035039555575,-0.0956231631986982,-0.5556431003222149,0.06167479256491927,-0.10220579114175796,-0.13294016536588135,-0.007044532745835833,-0.7236244696448131
-0.6559662360828271,0.8802732166318006,-0.6002145081950199,0.37702773690127256,-0.5312342179736746,-0.19990723122247558,-0.5635610868717369,0.02224844630088544,-0.5179152265876856,0.17563184826191094,-0.45556697550774194,-0.16988751261907278,-0.36148805731165107,-0.3277124950754583,-0.3476814990914665,-0.12099557843315899,-0.48808912360120404,-0.007639905984791995,-0.029166760051246868,-0.10411722129607331,0.009224502939323947,-0.6122262199961771
-0.5704583143865639,0.8766319244129563,-0.5283197367279542,0.3955793046594072,-0.49786262876369697,-0.18802914142161886,-0.5415637432637316,-0.007910513075779326,-0.5121793643404452,0.10818447420754977,-0.40936187357663395,-0.2102764547400455,-0.28889696423005984,-0.32500500478256034,-0.2975471276722852,-0.15818176016868837,-0.4079662800276191,-0.08503483249097925,0.047023037528966465,-0.06159970528127987,0.02375756028772341,-0.45832113324544194
