"Control: 0,0","Control: 0,1","Control: 0,2","Control: 0,3","Control: 0,4","Control: 1,0","Control: 1,1","Control: 1,2","Control: 1,3","Control: 1,4","Control: 2,0","Control: 2,1","Control: 2,2","Control: 2,3","Control: 2,4","Control: 3,0","Control: 3,1","Control: 3,2","Control: 3,3","Control: 3,4","Control: 4,0","Control: 4,1","Control: 4,2","Control: 4,3","Control: 4,4","Control: 5,0","Control: 5,1","Control: 5,2","Control: 5,3","Control: 5,4","Control: 6,0","Control: 6,1","Control: 6,2","Control: 6,3","Control: 6,4","Control: 7,0","Control: 7,1","Control: 7,2","Control: 7,3","Control: 7,4","Control: 8,0","Control: 8,1","Control: 8,2","Control: 8,3","Control: 8,4","Control: 9,0","Control: 9,1","Control: 9,2","Control: 9,3","Control: 9,4","Control: 10,0","Control: 10,1","Control: 10,2","Control: 10,3","Control: 10,4"
0.006902228680702838,0.0819394276616527,0.012766504052607397,0.008971159239241888,0.19292918360786093,0.0253428747846377,0.03056110382277722,0.005730505321200986,0.0234283861503604,0.19665607367867138,0.07854445969206329,-0.1209807317819987,-0.09243733361004174,-0.018616265505792248,0.20953617836496252,0.013430471152055498,-0.10590734014598356,-0.16082416558595589,-0.108760414221377,0.04601875729947325,-0.4132989550558774,0.4234733611759263,0.19107071376962517,-0.17341883295690347,-0.25642018323280286,-0.5671132462132451,0.4158121320572692,0.03399345949537058,-0.44241990524695485,0.126294752432484,-0.5533119454212859,0.6207797555577919,0.07809679444140759,-0.3361421187183525,0.5144519176469533,-0.47778665748729227,0.7422459690836716,0.4108059149940424,0.05301286833267727,-0.4536495801564851,-0.4287974482265094,0.3820367455218187,-0.01592391591705479,-0.203285326742339,-0.672142956305316,-0.2731985045374913,0.21433030167095865,-0.10909274481843373,-0.17949120947861272,-0.6015821419865971,-0.2372128300939626,0.18587443268622553,-0.13103745926074734,-0.19085694531090835,-0.557751811535894
0.021320307202967383,0.13143842980518577,0.026151987436874233,0.023743154842730797,0.338179372254079,0.04168377859323129,0.04450854572086947,0.005465204988635406,0.03698704522106685,0.341877253116215,0.12401217811168719,-0.21379773345661102,-0.1726910899941537,-0.0471496805194889,0.3634536835699026,0.00494061843543001,-0.184786780687376,-0.3065957228166662,-0.2284319001319427,0.10119553355924568,-0.626551354799445,0.6155404756272397,0.2386063934939441,-0.2723532755511119,-0.3578476223005682,-0.5486584031891998,0.4812234576543689,0.03579131996925218,-0.3437303981974197,0.16362061533424319,-0.6163300683171726,0.6054992656277717,0.0777057007144019,-0.25043051211210887,0.788387715058729,-0.7525894195806738,0.8361441143570543,0.5431318640015862,0.06113712596747221,-0.6487170230852887,-0.6631591344310552,0.5584999636797868,-0.07469236705831984,-0.34855101334303085,-0.8820763689278703,-0.44879265154466846,0.34616523789127307,-0.1787670091972106,-0.2979501054175196,-0.8203158528847375,-0.3937549664009024,0.3004624596364584,-0.20865978478846955,-0.3071615815067526,-0.8112078651662296
0.036446749767627545,0.15020205084617053,0.040602966204431046,0.03723443870745436,0.4286482912276109,0.053465842902549854,0.047956691205533114,0.0011265907775591803,0.03931714854109957,0.4356605414501812,0.1469296856791409,-0.2667948097648001,-0.23615946486615152,-0.07950909233957446,0.47099085109228966,-0.02374512689070584,-0.2271791047168598,-0.4300799615649539,-0.3504012933866284,0.16485235298259043,-0.7599173399105014,0.7289604539164245,0.24758246467508682,-0.3177872500514852,-0.4205924593635345,-0.4824326642027464,0.4652673241532518,0.04900238861416602,-0.20448003390327105,0.17447559863010415,-0.5773370900034928,0.5681862402311197,0.03260548293256675,-0.1937824597372654,0.9741774936546578,-0.8357836227193328,0.8876046978857084,0.5326155095013743,0.06826878628573593,-0.7083097588592274,-0.7556244392125416,0.6621489076292134,-0.11915281135402965,-0.4330280876208893,-0.8982962497165814,-0.5363259931484203,0.4332804870633102,-0.2056186077180947,-0.353066265863727,-0.8628142119354428,-0.4629508196819867,0.3730438805788058,-0.23482864175478477,-0.35010243401817137,-0.8931632772118402
0.06150099898377796,0.14887876681822557,0.062331236368374066,0.05767175701596787,0.4840504696479261,0.06237167307273102,0.04155582695528928,-0.005731064486560314,0.03730483770938654,0.4927233642194256,0.13945731498774597,-0.29490901476755477,-0.2885716242035806,-0.12111199569498586,0.5397636209862565,-0.0795330210538178,-0.24064718618604208,-0.5341865258378408,-0.47916923708899656,0.23314773362075492,-0.8371077479876976,0.7890270531282245,0.2311882804886532,-0.3538789644826161,-0.46005501732946885,-0.4135443056558226,0.4225165117127786,0.08250116874576383,-0.12856861931724795,0.17614275050961567,-0.5191667612618737,0.5381636177524187,0.056881412912195665,-0.1619848386973212,0.9999691862579081,-0.8484247781349106,0.920783455797486,0.5319674353926359,0.0719440615993927,-0.7459659411975219,-0.793991342770447,0.7137679488023121,-0.1318341802073109,-0.46892537294261605,-0.9226863403320954,-0.5677605159814803,0.47787375151734696,-0.18545135605466256,-0.35005757405108606,-0.8130404710722794,-0.4701759507361885,0.4000002647489665,-0.20274431944271776,-0.3223433718030231,-0.7626042786599797
0.08321375251476433,0.13037682385376992,0.07773709375704049,0.07283489142272506,0.5151136064662121,0.06039477761349488,0.030668915572104907,-0.019594811727923652,0.021504015722436674,0.5232821985803963,0.1110015413710692,-0.29343395184969734,-0.3306484944857695,-0.16331067726435772,0.5772293138346596,-0.1521317899312523,-0.22001022780383905,-0.6211834230612743,-0.5951455520513819,0.30374813760584884,-0.8685996513196662,0.8236923058307384,0.19727939864143448,-0.3631432096541681,-0.48576230343294463,-0.3487082850361909,0.38333067542567856,0.08423900380967614,-0.03869513032885947,0.1685273066098523,-0.4830405156215528,0.523255863525896,0.08887959817250081,-0.14928449917672587,0.9999795333336218,-0.8489469615914356,0.9377405495625218,0.546669967063489,0.07497701717326896,-0.7713950136201404,-0.8029017874633227,0.7324261809292091,-0.11663953814686268,-0.46131588933376233,-0.9357163190605065,-0.5626906192768727,0.48733967837912284,-0.13913739880258097,-0.2961338774306567,-0.8886665089316118,-0.44139806264399933,0.38874669784071675,-0.14368890470665652,-0.23576965778231207,-0.8990653848740352
0.09555062188437774,0.1022581124839016,0.08950021017352514,0.09210980547520327,0.524845898696409,0.04864767392785581,0.019871939078427135,-0.037887738358817986,0.0008406966242787455,0.5330000129475829,0.06210415961266527,-0.2670840576640525,-0.35549048146948853,-0.21296608926769298,0.5904750220454693,-0.2454353068424837,-0.16630778597200635,-0.6845398848495161,-0.7009789271516745,0.3728909892456602,-0.8580940320162653,0.8404941901727635,0.1515688885756575,-0.3462598731755943,-0.5038660595733429,-0.2856577270104937,0.35206915352202284,0.09568406242719767,0.041211534762555034,0.13348104859118687,-0.47227541174691773,0.5241234488676202,0.14458420532198363,-0.1505685953716433,0.9999723034035327,-0.8447836001375972,0.9433459417626452,0.5731145167064962,0.0856817649808195,-0.7932477145729682,-0.7875692570761236,0.7255839667474856,-0.0718374877640287,-0.40449616216835516,-0.942251960159074,-0.5152348876527467,0.4704299023667574,-0.05131429744563668,-0.19708801486806543,-0.8843401785713294,-0.35937793477395374,0.35106196442528337,-0.03860668568069789,-0.1081978044460817,-0.8818910642753143
0.10636692719957457,0.07221489723145973,0.10901457233891175,0.10699815761652966,0.5290514559391125,0.028768395113959996,0.013546498992429953,-0.051044397970421596,-0.029420794451111724,0.5321023060763906,-0.002348464513708813,-0.2125126612755866,-0.3578139022539673,-0.2649502592722223,0.58270739891706,-0.3462871014858472,-0.07204161604087643,-0.7208242994382681,-0.7814994268636977,0.4348157446916211,-0.8128693638543631,0.8501414250039442,0.10406006583760621,-0.3137963859318386,-0.5154124764548104,-0.23056692013149274,0.33335514312527637,0.18891745999771523,0.09829263048594886,0.03841191250420339,-0.4836793987866224,0.538596948759504,0.27872200503267114,-0.1591503962786287,0.9520097957612789,-0.8297546721215437,0.9356347696224872,0.5815752090072256,0.1115785551357463,-0.8137181489898091,-0.7421202548892488,0.6932479585499477,-0.0005028296971917288,-0.29827113385917586,-0.9440815517340907,-0.44461491873346337,0.4286626392751091,0.05020717078702408,-0.060332093371644836,-0.8757606630624218,-0.26409355306765336,0.28698924557570654,0.07536707970757547,0.04726366415349644,-0.8620100326556068
0.11083093140505267,0.03986290090273625,0.11762580929760998,0.11646792806271773,0.5177960521682581,0.0033900887240085613,0.009942699543322662,-0.06876783651368296,-0.06422550502248114,0.5169287312344475,-0.07687169135384646,-0.1425793437350189,-0.3485130458384788,-0.3141908898782474,0.560398826953637,-0.4476484087462283,0.051350119002535936,-0.7282747775314005,-0.8303569831350214,0.4871291602499549,-0.7386529272935259,0.8582187219240447,0.06371070199342882,-0.27431861435109467,-0.5221766018759898,-0.18557677878616008,0.32928332780066466,0.35876737105466583,0.12808657563216397,-0.09112739289890036,-0.5127995588278899,0.5640770289155134,0.48867315589201066,-0.17114355775509071,0.7193619956418978,-0.788711861626902,0.9049725047387035,0.5805630245517599,0.15339725506179755,-0.8318833688433228,-0.6488210814578312,0.6255192025231212,0.08285564804385924,-0.1548967448894381,-0.9415042762643053,-0.3435424140855127,0.3606976154277071,0.16619501456222635,0.09014959168356187,-0.8631611643009817,-0.14676789280433855,0.19772170866029987,0.20532510263520307,0.20202435536140487,-0.8391209142253238
0.09146758908004574,0.015533060720884943,0.11473415910494444,0.11528359304598482,0.4966290037374809,-0.04109736208158716,0.01643629639843982,-0.08597512834576614,-0.10582486635722632,0.49232202949919235,-0.16689935516858714,-0.0542289790769954,-0.3183518925925155,-0.3570776706273453,0.524556073099702,-0.5408397591975946,0.19875031749612213,-0.6951231411477644,-0.8436982913708237,0.5223030309544838,-0.6572292224311184,0.8633994770617366,0.03412313865629281,-0.23064456422983365,-0.5250246199295308,-0.17571849332701334,0.3430681929890196,0.5687981202024107,0.1323677777213601,-0.17632390607449575,-0.5543555443976363,0.5994183506675835,0.7415079099633647,-0.1819554816420319,0.4923108418406024,-0.702534706714424,0.8448202234878834,0.5826501642117516,0.21823232338934054,-0.8456426011815784,-0.4871798467992474,0.5191147146679099,0.17887696207203785,0.020921805899349402,-0.9341959803771315,-0.21019750764020798,0.2811618980850169,0.28024437375491473,0.2456638025103154,-0.844327622923215,-0.010733744823249548,0.11137869631707764,0.32636135979311504,0.3533668720785544,-0.807391957010994
0.05871482997615539,-0.0014246577470181242,0.11248914651151704,0.0956013068389501,0.45724805969962884,-0.09300086123658502,0.031077530448795392,-0.1007874175824072,-0.15269549363510784,0.4543995659399785,-0.25630400313101304,0.04685735349829197,-0.2793279327265984,-0.3886438035539775,0.4784332590001401,-0.6215663375782869,0.3514968699432728,-0.6218110772241299,-0.8281188099352504,0.5390999146095861,-0.5943703256283922,0.8447084756319343,0.010995955557102293,-0.19589454200394002,-0.5235288079384411,-0.21489519169475294,0.36509405690638935,0.6603279633747402,0.10693851479099108,-0.18096644200835665,-0.6030981990466893,0.6446860766654211,0.8848896426417115,-0.18507325656306997,0.30837159308373646,-0.575534785723077,0.7546630376853602,0.594011254639423,0.2939725199015275,-0.86370007338091,-0.2661648779792707,0.3714729136634222,0.2858709194364899,0.20717429947982854,-0.9226623473925138,-0.06026546140674935,0.1775088247757149,0.3878271060059433,0.38568302600843246,-0.8087038312137423,0.11789306270425441,0.011010838650502498,0.4348021463300882,0.4763488311292139,-0.7411401749399029
